ParkID,Activities
Riverside,"CAMPING,BEACH,BIRD,BOATING,FISHING,SWIMMING,WSKIING,HIKING"
Rockport,"CAMPING,BIRD,BOATING_NM,FISHING,INTERP,PLAYGROUND,HIKING,BIKING,HORSE,CCSKIING,SNOWMOBILE ,VTOUR"
Sacajawea,HIKING
Saint_Edward,"BEACH,BALL,BOATING_NM,FISHING,SCUBA,SWIMMING,PLAYGROUND,HIKING"
Saltwater,"BEACH,BIRD,BALL,FISHING,INTERP,SCUBA,SWIMMING,WSKIING,HIKING,BIKING,VTOUR"
Scenic_Beach,"CAMPING,BEACH,BIRD,BOATING_NM,FISHING,SCUBA,SWIMMING,PLAYGROUND,HIKING,VTOUR"
Schafer,"CAMPING,BEACH,BIRD,FISHING,SCUBA,SWIMMING,PLAYGROUND,HIKING"
Seaquest,"CAMPING,BEACH,BOATING_NM,FISHING,SCUBA,HIKING"
Sequim_Bay,"CAMPING,BIRD,INTERP,PLAYGROUND,HIKING,VTOUR"
Shine_Tidelands,"CAMPING,BEACH,BIRD,BALL,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,PLAYGROUND,HIKING"
Skagit_Island,"BEACH,BIRD,BOATING_NM,FISHING,SCUBA,SWIMMING,VTOUR"
South_Whidbey,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,HIKING"
Spencer_Spit,"CAMPING,BEACH,BIRD,FISHING,SWIMMING,HIKING"
Spring_Creek_Hatchery,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,PLAYGROUND,HIKING"
Squak_Mountain,"BIRD,BOATING,FISHING,INTERP "
Squilchuck,"BIRD,HIKING,HORSE"
Steamboat_Rock,"CAMPING,BEACH,HIKING,BIKING,CCSKIING"
Steptoe_Battlefield,"CAMPING,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,PLAYGROUND,HIKING,BIKING,HORSE,CCSIING"
Stuart_Island,VTOUR
Sucia_Island,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,HIKING"
Sun_Lakes,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,HIKING"
Tolmie,"CAMPING,BIRD,BOATING,FISHING,INTERP,SCUBA,SWIMMING,WSKIING,PLAYGROUND,HIKING,BIKING,CCSKIING,VTOUR"
Triton_Cove,"BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,HIKING,VTOUR"
Turn_Island,"BIRD,BOATING_NM,FISHING"
Twanoh,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,PLAYGROUND,HIKING"
Twenty_Five_Mile_Creek,"CAMPING,BEACH,BIRD,BALL,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,HIKING"
Twin_Harbors,"CAMPING,BIRD,BOATING,FISHING,SWIMMING,WSKIING,HIKING"
Upright_Channel,"CAMPING,BEACH,BIRD,FISHING,HIKING,HORSE"
Wallace_Falls,"BEACH,BIRD,BOATING,FISHING"
Wanapum,"CAMPING,BIRD,FISHING,HIKING,BIKING"
Wenatchee_Confluence,"CAMPING,BEACH,BIRD,BOATING,FISHING,INTERP,SCUBA,SWIMMING,WSKIING,HIKING"
Westport_Light,"CAMPING,BIRD,BALL,BOATING,FISHING,SWIMMING,WSKIING,PLAYGROUND"
Yakima_Sportsman,"BEACH,BIRD,FISHING,INTERP,HIKING"
Steptoe_Butte,"CAMPING,BIRD,BALL,FISHING,PLAYGROUND,HIKING"
Westhaven,"BIRD,VTOUR"
Potholes,"BEACH,BIRD,BOATING_NM,FISHING,SCUBA,SWIMMING,HIKING"
