ParkID,ACTIVITY
Maryhill,WSKIING
Maryhill,HIKING
Matia_Island,CAMPING
Matia_Island,BEACH
Matia_Island,BIRD
Matia_Island,BOATING
Matia_Island,FISHING
Matia_Island,SCUBA
Matia_Island,SWIMMING
Matia_Island,WSKIING
Matia_Island,HIKING
McMicken_Island,BEACH
McMicken_Island,BIRD
McMicken_Island,BOATING
McMicken_Island,FISHING
McMicken_Island,SCUBA
McMicken_Island,SWIMMING
McMicken_Island,WSKIING
McMicken_Island,HIKING
Millersylvania,CAMPING
Millersylvania,BIRD
Millersylvania,BOATING
Millersylvania,FISHING
Millersylvania,SCUBA
Millersylvania,SWIMMING
Millersylvania,HIKING
Moran,CAMPING
Moran,BIRD
Moran,BOATING_NM
Moran,FISHING
Moran,SWIMMING
Moran,PLAYGROUND
Moran,HIKING
Moran,BIKING
Mount_Pilchuck,BIRD
Mount_Pilchuck,HIKING
Mount_Spokane,CAMPING
Mount_Spokane,BIRD
Mount_Spokane,HIKING
Mount_Spokane,BIKING
Mount_Spokane,HORSE
Mount_Spokane,CCSKIING
Mount_Spokane,SNOWMOBILE
Mount_Spokane,VTOUR
Mystery_Bay,BEACH
Mystery_Bay,BIRD
Mystery_Bay,BOATING
Mystery_Bay,FISHING
Mystery_Bay,SWIMMING
Mystery_Bay,VTOUR
Nine_Mile,CAMPING
Nine_Mile,BIRD
Nine_Mile,BOATING
Nine_Mile,FISHING
Nine_Mile,SWIMMING
Nine_Mile,WSKIING
Nine_Mile,HIKING
Nine_Mile,BIKING
Nine_Mile,HORSE
Nolte,BIRD
Nolte,BOATING_NM
Nolte,FISHING
Nolte,SWIMMING
Nolte,PLAYGROUND
Nolte,HIKING
Nolte,VTOUR
Ocean_City,CAMPING
Ocean_City,BEACH
Ocean_City,BIRD
Ocean_City,BOATING
Ocean_City,FISHING
Ocean_City,SCUBA
Ocean_City,SWIMMING
Ocean_City,WSKIING
Ocean_City,PLAYGROUND
Ocean_City,HIKING
Ocean_City,VTOUR
Olallie,BEACH
Olallie,BOATING_NM
Olallie,HIKING
Olallie,VTOUR
Olmstead_Place,BIRD
Olmstead_Place,FISHING
Olmstead_Place,INTERP
Olmstead_Place,HIKING
Olmstead_Place,VTOUR
Osoyoos_Lake,CAMPING
Pacific_Beach,CAMPING
Pacific_Beach,BEACH
Pacific_Beach,BIRD
Pacific_Beach,FISHING
Pacific_Beach,HIKING
Pacific_Beach,VTOUR
Pacific_Pines,BEACH
Pacific_Pines,BIRD
Pacific_Pines,FISHING
Palouse_Falls,CAMPING
Palouse_Falls,BIRD
Palouse_Falls,FISHING
Palouse_Falls,HIKING
Palouse_Falls,VTOUR
Paradise_Point,CAMPING
Paradise_Point,BIRD
Paradise_Point,BOATING_NM
Paradise_Point,FISHING
Paradise_Point,SWIMMING
Paradise_Point,HIKING
Patos_Island,CAMPING
Patos_Island,BEACH
Patos_Island,BIRD
Patos_Island,BOATING
Patos_Island,FISHING
Patos_Island,SCUBA
Patos_Island,SWIMMING
Patos_Island,WSKIING
Patos_Island,HIKING
Peace_Arch,PLAYGROUND
Peace_Arch,HIKING
Pearrygin_Lake,CAMPING
Pearrygin_Lake,BIRD
Pearrygin_Lake,BOATING
Pearrygin_Lake,FISHING
Pearrygin_Lake,SWIMMING
Pearrygin_Lake,WSKIING
Pearrygin_Lake,HIKING
Pearrygin_Lake,CCSKIING
Pearrygin_Lake,SNOWMOBILE
Penrose_Point,CAMPING
Penrose_Point,BEACH
Penrose_Point,BIRD
Penrose_Point,BOATING
Penrose_Point,FISHING
Penrose_Point,SCUBA
Penrose_Point,SWIMMING
Penrose_Point,WSKIING
Penrose_Point,HIKING
Penrose_Point,BIKING
Peshastin_Pinnacles,BIRD
Peshastin_Pinnacles,HIKING
Pleasant_Harbor,BIRD
Pleasant_Harbor,BOATING
Pleasant_Harbor,SCUBA
Pleasant_Harbor,SWIMMING
Pleasant_Harbor,WSKIING
Posey_Island,CAMPING
Posey_Island,BEACH
Posey_Island,BIRD
Posey_Island,BOATING
Posey_Island,FISHING
Posey_Island,SCUBA
Posey_Island,SWIMMING
Posey_Island,WSKIING
Potlatch,CAMPING
Potlatch,BIRD
Potlatch,BOATING
Potlatch,FISHING
Potlatch,SCUBA
Potlatch,SWIMMING
Potlatch,HIKING
Potlatch,VTOUR
Rainbowf_Falls,CAMPING
Rainbow_Falls,BIRD
Rainbow_Falls,BOATING_NM
Rainbow_Falls,FISHING
Rainbow_Falls,SWIMMING
Rainbow_Falls,PLAYGROUND
Rainbow_Falls,HIKING
Rainbow_Falls,BIKING
Rainbow_Falls,HORSE
Rasar,CAMPING
Rasar,BEACH
Rasar,BIRD
Rasar,BALL
Rasar,FISHING
Rasar,INTERP
Rasar,PLAYGROUND
Rasar,HIKING
Rasar,BIKING
Reed_Island,CAMPING
Reed_Island,BEACH
Reed_Island,BIRD
Reed_Island,BOATING
Reed_Island,FISHING
Reed_Island,SWIMMING
Reed_Island,WSKIING
Reed_Island,HIKING
Riverside,CAMPING
Riverside,BIRD
Riverside,BOATING_NM
Riverside,FISHING
Riverside,INTERP
Riverside,PLAYGROUND
Riverside,HIKING
Riverside,BIKING
Riverside,HORSE
Riverside,CCSKIING
Riverside,SNOWMOBILE 
Riverside,VTOUR
Rockport,HIKING
Sacajawea,BEACH
Sacajawea,BALL
Sacajawea,BOATING_NM
Sacajawea,FISHING
Sacajawea,SCUBA
Sacajawea,SWIMMING
Sacajawea,PLAYGROUND
Sacajawea,HIKING
Saint_Edward,BEACH
Saint_Edward,BIRD
Saint_Edward,BALL
Saint_Edward,FISHING
Saint_Edward,INTERP
Saint_Edward,SCUBA
Saint_Edward,SWIMMING
Saint_Edward,WSKIING
Saint_Edward,HIKING
Saint_Edward,BIKING
Saint_Edward,VTOUR
Saltwater,CAMPING
Saltwater,BEACH
Saltwater,BIRD
Saltwater,BOATING_NM
Saltwater,FISHING
Saltwater,SCUBA
Saltwater,SWIMMING
Saltwater,PLAYGROUND
Saltwater,HIKING
Saltwater,VTOUR
Scenic_Beach,CAMPING
Scenic_Beach,BEACH
Scenic_Beach,BIRD
Scenic_Beach,FISHING
Scenic_Beach,SCUBA
Scenic_Beach,SWIMMING
Scenic_Beach,PLAYGROUND
Scenic_Beach,HIKING
Schafer,CAMPING
Schafer,BEACH
Schafer,BOATING_NM
Schafer,FISHING
Schafer,SCUBA
Schafer,HIKING
Seaquest,CAMPING
Seaquest,BIRD
Seaquest,INTERP
Seaquest,PLAYGROUND
Seaquest,HIKING
Seaquest,VTOUR
Sequim_Bay,CAMPING
Sequim_Bay,BEACH
Sequim_Bay,BIRD
Sequim_Bay,BALL
Sequim_Bay,BOATING
Sequim_Bay,FISHING
Sequim_Bay,SCUBA
Sequim_Bay,SWIMMING
Sequim_Bay,WSKIING
Sequim_Bay,PLAYGROUND
Sequim_Bay,HIKING
Shine_Tidelands,BEACH
Shine_Tidelands,BIRD
Shine_Tidelands,BOATING_NM
Shine_Tidelands,FISHING
Shine_Tidelands,SCUBA
Shine_Tidelands,SWIMMING
Shine_Tidelands,VTOUR
Skagit_Island,CAMPING
Skagit_Island,BEACH
Skagit_Island,BIRD
Skagit_Island,BOATING
Skagit_Island,FISHING
Skagit_Island,SCUBA
Skagit_Island,SWIMMING
Skagit_Island,WSKIING
Skagit_Island,HIKING
South_Whidbey,CAMPING
South_Whidbey,BEACH
South_Whidbey,BIRD
South_Whidbey,FISHING
South_Whidbey,SWIMMING
South_Whidbey,HIKING
Spencer_Spit,CAMPING
Spencer_Spit,BEACH
Spencer_Spit,BIRD
Spencer_Spit,BOATING
Spencer_Spit,FISHING
Spencer_Spit,SCUBA
Spencer_Spit,SWIMMING
Spencer_Spit,PLAYGROUND
Spencer_Spit,HIKING
Spring_Creek_Hatchery,BIRD
Spring_Creek_Hatchery,BOATING
Spring_Creek_Hatchery,FISHING
